# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Zuko, Firebending Master | {1}{R} | Legendary Creature - Human Noble Ally | - | CAST-TRIG | First strike / Firebending X, where X is the number of experience counters you have. / Whenever you cast a spell during combat, you get an experience counter.
Marauding Mako | {R} | Creature - Shark Pirate | - |  | Whenever you discard one or more cards, put that many +1/+1 counters on this creature. / Cycling {2}
Necrogen Communion | {1}{B} | Enchantment - Aura | - |  | Enchant creature you control / Enchanted creature has toxic 2. / When enchanted creature dies, return that card to the battlefield under your control.
Macabre Waltz | {1}{B} | Sorcery | - |  | Return up to two target creature cards from your graveyard to your hand, then discard a card.
Enterprising Scallywag | {1}{R} | Creature - Goblin Pirate | - | TREAS | At the beginning of your end step, if you descended this turn, create a Treasure token.
Maximum Carnage | {4}{R} | Enchantment - Saga | - | MANA,PING,RMVL | / I — Until your next turn, each creature attacks each combat if able and attacks a player other than you if able. / II — Add {R}{R}{R}. / III — This Saga deals 5 damage to each opponent.
Lord Skitter's Butcher | {2}{B} | Creature - Rat Peasant | - |  | When this creature enters, choose one — / • Create a 1/1 black Rat creature token with "This token can't block." / • You may sacrifice another creature. If you do, scry 2, then draw a card. 
Final Vengeance | {B} | Sorcery | - | RMVL | As an additional cost to cast this spell, sacrifice a creature or enchantment. / Exile target creature.
Drannith Ruins |  | Land | - | LAND | {T}: Add {C}. / {2}, {T}: Put two +1/+1 counters on target non-Human creature that entered this turn.
Goblin Negotiation | {X}{R}{R} | Sorcery | - |  | Goblin Negotiation deals X damage to target creature. Create a number of 1/1 red Goblin creature tokens equal to the amount of excess damage dealt to that creature this way.
Zoyowa's Justice | {1}{R} | Instant | - |  | The owner of target artifact or creature with mana value 1 or greater shuffles it into their library. Then that player discovers X, where X is its mana value.
Doomsday Excruciator | {B}{B}{B}{B}{B}{B} | Creature - Demon | - |  | Flying / When this creature enters, if it was cast, each player exiles all but the bottom six cards of their library face down. / At the beginning of your upkeep, draw a card.
White Lotus Hideout |  | Land | - | LAND | {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a Lesson or Shrine spell. / {1}, {T}: Add one mana of any color.
Persistent Marshstalker | {1}{B} | Creature - Rat Berserker | - |  | This creature gets +1/+0 for each other Rat you control. / Threshold — Whenever you attack with one or more Rats, if there are seven or more cards in your graveyard, you may pay {2}{B}. If y
Elegy Acolyte | {2}{B}{B} | Creature - Human Cleric | - |  | Lifelink / Whenever one or more creatures you control deal combat damage to a player, you draw a card and lose 1 life. / Void — At the beginning of your end step, if a nonland permanent left
Super Shredder | {1}{B} | Legendary Creature - Mutant Ninja Human | - |  | Menace / Whenever another permanent leaves the battlefield, put a +1/+1 counter on Super Shredder.
Venerated Stormsinger | {3}{B} | Creature - Orc Cleric | - |  | Mobilize 1 / Whenever this creature or another creature you control dies, each opponent loses 1 life and you gain 1 life.
Dauntless Scrapbot | {3} | Artifact Creature - Robot | - |  | When this creature enters, exile each opponent's graveyard. Create a Lander token.
Goblin Surprise | {2}{R} | Instant | - |  | Choose one — / • Creatures you control get +2/+0 until end of turn. / • Create two 1/1 red Goblin creature tokens.
Instant Ramen | {2} | Artifact - Food | - | CANTRIP | Flash / When this artifact enters, draw a card. / {2}, {T}, Sacrifice this artifact: You gain 3 life.
Scuzzback Scrounger | {1}{R} | Creature - Goblin Warrior | - | TREAS | At the beginning of your first main phase, you may blight 1. If you do, create a Treasure token.
Flamebraider | {1}{R} | Creature - Elemental Bard | - |  | {T}: Add two mana in any combination of colors. Spend this mana only to cast Elemental spells or activate abilities of Elemental sources.
Typhoid Rats | {B} | Creature - Rat | - |  | Deathtouch
Defiled Crypt // Cadaver Lab | {3}{B} // {B} | Enchantment - Room // Enchantment — Room | - |  | Whenever one or more cards leave your graveyard, create a 2/2 black Horror enchantment creature token. This ability triggers only once each turn. / / // / When you unlock this door, return t
All-Fates Scroll | {3} | Artifact | - |  | {T}: Add one mana of any color. / {7}, {T}, Sacrifice this artifact: Draw X cards, where X is the number of differently named lands you control.
Dreadmaw's Ire | {R} | Instant | - | RMVL | Until end of turn, target attacking creature gets +2/+2 and gains trample and "Whenever this creature deals combat damage to a player, destroy target artifact that player controls."
Pact Weapon | {3}{B} | Artifact - Equipment | - |  | As long as this Equipment is attached to a creature, you don't lose the game for having 0 or less life. / Whenever equipped creature attacks, draw a card and reveal it. The creature gets +X/
Mirror of Galadriel | {2} | Legendary Artifact | - | CANTRIP | {5}, {T}: Scry 1, then draw a card. This ability costs {1} less to activate for each legendary creature you control.
Worthy Cost | {B} | Sorcery | - | RMVL | As an additional cost to cast this spell, sacrifice a creature. / Exile target creature or planeswalker.
Splinter's Technique | {3}{B} | Sorcery | - |  | Sneak {1}{B} / Search your library for a card, put that card into your hand, then shuffle.
Warlord's Fury | {R} | Sorcery | - | CANTRIP | Creatures you control gain first strike until end of turn. / Draw a card.
Sulfurous Mire |  | Snow Land - Swamp Mountain | - | LAND | / This land enters tapped.
Dowsing Device // Geode Grotto | {1}{R} | Artifact // Land - Cave | - | LAND | Whenever this artifact or another artifact you control enters, up to one target creature you control gets +1/+0 and gains haste until end of turn. Then transform this artifact if you control
Soulstone Sanctuary |  | Land | - | LAND | {T}: Add {C}. / {4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.
Al Bhed Salvagers | {2}{B} | Creature - Human Artificer Warrior | - |  | Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life.
Entropic Battlecruiser | {3}{B} | Artifact - Spacecraft | - |  | Station / 1+ | Whenever an opponent discards a card, they lose 3 life. / 8+ | Flying, deathtouch / Whenever this Spacecraft attacks, each opponent discards a card. Each opponent who can't lo
Introduction to Annihilation | {5} | Sorcery - Lesson | - | RMVL | Exile target nonland permanent. Its controller draws a card.
Cruel Tutor | {2}{B} | Sorcery | - |  | Search your library for a card, then shuffle and put that card on top. You lose 2 life.
Eternal Thirst | {1}{B} | Enchantment - Aura | - |  | Enchant creature / Enchanted creature has lifelink and "Whenever a creature an opponent controls dies, put a +1/+1 counter on this creature."
Gaius van Baelsar | {2}{B}{B} | Legendary Creature - Human Soldier | - |  | When Gaius van Baelsar enters, choose one — / • Each player sacrifices a creature token of their choice. / • Each player sacrifices a nontoken creature of their choice. / • Each player sacri
Turtle Lair |  | Land | - | LAND | {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a Ninja or Turtle spell. / {3}, {T}: Target Ninja or Turtle can't be blocked this turn.
Wild Ride | {R} | Sorcery | - |  | Target creature gets +3/+0 and gains haste until end of turn. / Harmonize {4}{R}
Obsessive Pursuit | {1}{B} | Enchantment | - |  | When this enchantment enters and at the beginning of your upkeep, you lose 1 life and create a Clue token. / Whenever you attack, put X +1/+1 counters on target attacking creature, where X i
Realm of Koh |  | Land | - | LAND | This land enters tapped unless you control a basic land. / {T}: Add {B}. / {3}{B}, {T}: Create a 1/1 colorless Spirit creature token with "This token can't block or be blocked by non-Spirit 
Behold the Sinister Six! | {6}{B} | Sorcery | - |  | Return up to six target creature cards with different names from your graveyard to the battlefield.
Iron Apprentice | {1} | Artifact Creature - Construct | - |  | This creature enters with a +1/+1 counter on it. / When this creature dies, if it had counters on it, put those counters on target creature you control.
Bake into a Pie | {2}{B}{B} | Instant | - | RMVL | Destroy target creature. Create a Food token.
South Wind Avatar | {3}{B} | Creature - Snake Spirit Avatar | - |  | Deathtouch / Whenever another creature you control dies, you gain life equal to its toughness. / Whenever you gain life, each opponent loses 1 life.
Captivating Cave |  | Land - Cave | - | LAND | {T}: Add {C}. / {1}, {T}: Add one mana of any color. / {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Fang, Fearless l'Cie | {2}{B} | Legendary Creature - Human Warrior | - |  | Whenever one or more cards leave your graveyard, you draw a card and you lose 1 life. This ability triggers only once each turn. /
Firebending Lesson | {R} | Instant - Lesson | - | RMVL | Kicker {4} / Firebending Lesson deals 2 damage to target creature. If this spell was kicked, it deals 5 damage to that creature instead.
Oni-Cult Anvil | {B}{R} | Artifact | - | PING | Whenever one or more artifacts you control leave the battlefield during your turn, create a 1/1 colorless Construct artifact creature token. This ability triggers only once each turn. / {T},
Blazing Firesinger // Seething Song | {2}{R} // {2}{R} | Creature - Dwarf Bard // Instant | - | RITUAL | This creature enters prepared. / // / Add {R}{R}{R}{R}{R}.
Tourach, Dread Cantor | {1}{B} | Legendary Creature - Human Cleric | - |  | Kicker {B}{B} / Protection from white / Whenever an opponent discards a card, put a +1/+1 counter on Tourach. / When Tourach enters, if it was kicked, target opponent discards two cards at r
Involuntary Employment | {3}{R} | Sorcery | - | TREAS | Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Create a Treasure token.
Magmatic Insight | {R} | Sorcery | - |  | As an additional cost to cast this spell, discard a land card. / Draw two cards.
Agent Venom | {2}{B} | Legendary Creature - Symbiote Soldier Hero | - |  | Flash / Menace / Whenever another nontoken creature you control dies, you draw a card and lose 1 life.
Sinister Monolith | {3}{B} | Artifact | - |  | At the beginning of combat on your turn, each opponent loses 1 life and you gain 1 life. / {T}, Pay 2 life, Sacrifice this artifact: Draw two cards. Activate only as a sorcery.
Impolite Entrance | {R} | Sorcery | - | CANTRIP | Target creature gains trample and haste until end of turn. / Draw a card.
Romantic Rendezvous | {1}{R} | Sorcery | - |  | Discard a card, then draw two cards.
Iroh's Demonstration | {1}{R} | Sorcery - Lesson | - | RMVL | Choose one — / • Iroh's Demonstration deals 1 damage to each creature your opponents control. / • Iroh's Demonstration deals 4 damage to target creature.
Captain America's Shield | {2} | Legendary Artifact - Equipment | - |  | Indestructible / Equipped creature gets +0/+8 and has vigilance. / Whenever equipped creature attacks, tap target creature defending player controls. / Equip {2}
Goblin Grenade | {R} | Sorcery | - | PING | As an additional cost to cast this spell, sacrifice a Goblin. / Goblin Grenade deals 5 damage to any target.
